,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,PrachyaKlong,@PrachyaKlong·2022年6月4日,2022-06-04,"05282022 West Village, Manhattan, New York, NY USA#klong #thaitayan #travel #lifestyle #westvillage #manhattan #newyork #ny #newyorkcity #nyc #usa @ Boucherie West Village",,,,en,Boucherie West Village New York
1,sophie bee ,@Ana_xSophie·2020年3月31日,2020-03-31,FINALLY figured out the entirety of my itinerary for New York this summer!I’ll be eating within my own limits at the following places (thanks to help from all of you!):-Boucherie (West Village)-Westville-Monkey Bar-DelimarieSomeone say it’s okay to be excited for this pls,1,,4,en,Boucherie West Village New York
2,Mark Hamilton-Smith,@MHSConsultancy·2019年9月3日,2019-09-03,"Boucherie Restaurants in West Village, New York https://timeout.com/newyork/restaurants/boucherie-1…",,,,en,Boucherie West Village New York
3,AunTee₁₂₇,@T_Tee19·2019年4月15日,2019-04-15,Lucali for Pizza or Boucherie West Village in New York! Chart House or Adega Grill in Newark!,,,1,en,Boucherie West Village New York
