,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,Gladz Vira-Lata Bond Dogs,@GladzMa·2021年9月21日,2021-09-20,"Os twitters que já estiveram em New York sabem que a cidade é um paraíso gastronômico, que a gentalha desse desgoverno não poderão frequentar porque não foram vacinados. Vou deixar aqui a dica do Boucherie, um restaurante fantástico na Union Square.",15,,57,pt,Boucherie Union Square New York
1,LivingEasyNY,@LivingEasy_NY·2020年12月14日,2020-12-14,"Filet de BoeufBoucherie Union Square225 Park Ave SNew York, NY 10003@nyfoodbae",,1,1,en,Boucherie Union Square New York
